NAME	X	Y	AREA
SAimp_E-node-1612-1	1076305.677	1062239.33	0.411
Parking_E-node-1569-2	1076324.234	1065856.709	0.177
SAimp_E-node-1577-2	1076331.275	1066378.24	0.262
Parking_5280-1	1076338.931	1058616.936	2.146
SAimp_E-MH-10136	1076345.292	1061606.304	0.142
SAimp_E-node-1569-2	1076359.234	1065831.709	0.351
SAimp_5280-1	1076373.931	1058591.936	1.347
SAimp_E-MH-10165-2	1076392.99	1060246.365	0.165
SAimp_E-MH-10102-1	1076438.415	1061142.126	0.463
SAimp_E-MH-10166	1076439.813	1060089.593	0.167
SAimp_E-node-4977-4	1076490.082	1062205.009	0.162
SAimp_E-MH-10414	1076529.687	1064589.452	0.118
SAimp_E-MH-10185	1076540.709	1059774.424	0.256
Parking_E-node-1576-1	1076543.283	1066800.166	0.132
SAimp_5284-1	1076557.338	1063534.006	0.505
Parking_E-node-1579-2	1076565.172	1066142.053	0.862
SAimp_E-node-1576-1	1076578.283	1066775.166	0.48
SAimp_E-node-2108-1	1076581.352	1063798.334	0.355
SAimp_5297-1	1076590.457	1059240.64	0.639
SAimp_3295	1076609.239	1064816.576	0.71
SAimp_E-MH-10419	1076614.355	1064448.076	0.143
SAimp_E-MH-1548	1076627.609	1061732.982	0.465
SAimp_SPP334A	1076627.81	1064251.762	0.457
SAimp_E-node-1576-2	1076638.657	1066569.984	0.289
SAimp_E-MH-10272	1076644.485	1063053.409	0.464
SAimp_E-MH-10101	1076646.745	1061020.947	0.251
SAimp_E-node-1575	1076665.001	1066448.191	0.206
SAimp_E-MH-10133	1076695.644	1061443.589	0.212
SAimp_E-MH-10329-2	1076698.719	1063304.227	0.225
SAimp_E-node-4977-3	1076699.833	1062417.295	0.59
SAimp_E-MH-10328	1076703.82	1063173.046	0.197
SAimp_E-MH-19613-2	1076729.03	1064019.503	0.154
SAimp_E-MH-2149	1076729.167	1060465.663	0.544
SAimp_E-MH-10198	1076741.049	1060767.816	0.539
SAimp_E-MH-10165-1	1076746.896	1060047.494	0.114
SAimp_E-MH-10100-1	1076769.615	1061253.672	0.14
SAimp_E-MH-10290	1076771.215	1062885.726	0.239
SAimp_E-node-1572-2	1076775.52	1065435.011	0.433
SAimp_E-node-4977-2	1076778.205	1062750.524	0.335
Parking_4025-1	1076789.281	1062074.387	0.69
SAimp_E-node-1571-1	1076812.871	1065144.316	0.385
SAimp_4025-1	1076824.281	1062049.387	0.211
SAimp_E-node-1570-1	1076830.524	1065638.999	0.112
Parking_3408-1	1076836.26	1067010.123	0.234
SAimp_3299-3	1076838.732	1064576.201	0.1
SAimp_E-node-1578-1	1076860.934	1066320.061	0.238
SAimp_3408-1	1076871.26	1066985.123	0.258
SAimp_E-node-4977	1076873.505	1062611.205	0.282
SAimp_E-MH-1777	1076884.792	1059180.109	0.475
SAimp_E-MH-10100	1076890.252	1061044.78	0.317
SAimp_4025	1076894.073	1062201.599	0.257
SAimp_E-node-1569-1	1076924.176	1065839.176	0.22
Parking_3330	1076927.023	1066689.294	0.211
SAimp_E-MH-10184	1076932.001	1059807.023	0.119
SAimp_E-MH-10165	1076953.12	1060095.9	0.183
SAimp_5297	1076960.956	1059530.599	0.121
SAimp_3330	1076962.023	1066664.294	2.046
SAimp_3511-4	1076970.33	1067609.908	1.204
SAimp_E-node-1578-2	1076998.954	1066227.625	0.204
Parking_3299-1	1077009.136	1064514.303	0.432
SAimp_3299-1	1077044.136	1064489.303	0.574
SAimp_E-MH-10099	1077048.262	1061187.179	0.357
SAimp_3249	1077082.779	1066735.671	0.142
SAimp_E-node-1567	1077089.618	1059932.671	0.156
SAimp_3247	1077120.971	1066432.4	0.323
SAimp_E-node-2108-3	1077131.775	1063733.147	0.408
SAimp_E-MH-10223	1077147.449	1059155.809	0.322
SAimp_E-MH-19613-1	1077150.221	1064014.221	0.105
Parking_3408-2	1077150.693	1067263.123	3.369
SAimp_E-node-1546	1077151.522	1061990.843	0.146
SAimp_E-MH-10223-1	1077158.076	1058875.36	0.127
Parking_3434	1077182.3	1064261.277	0.774
SAimp_3408-2	1077185.693	1067238.123	0.985
SAimp_3948	1077201.412	1061060.351	0.192
SAimp_3434	1077217.3	1064236.277	0.125
SAimp_E-MH-10110	1077227.044	1061459.214	0.11
SAimp_E-MH-10329-1	1077227.607	1063293.86	0.117
SAimp_3953	1077231.092	1060374.785	0.351
SAimp_3951	1077236.999	1060720.177	0.413
Parking_E-MH-1901	1077238.239	1061698.907	0.556
SAimp_E-MH-10341-3	1077241.672	1063563.325	0.109
SAimp_3301-3	1077248.051	1065131.276	0.339
SAimp_3958	1077250.266	1060063.783	0.286
SAimp_E-MH-10323	1077259.382	1063149.52	0.168
SAimp_E-MH-1901	1077273.239	1061673.907	0.16
