NAME	X	Y
Parking_3593-1	1086993.91900000000	1062499.92300000000
Parking_3599-1	1086301.47800000000	1065432.24100000000
Parking_3608	1086047.30300000000	1066349.59500000000
Parking_3629	1086798.01800000000	1067674.72000000000
Parking_3629-2	1086418.18100000000	1067586.21000000000
Parking_3634	1086558.95500000000	1067790.66800000000
Parking_3640	1086743.48600000000	1068727.47500000000
Parking_3642	1086632.48400000000	1069301.79900000000
Parking_3645	1086431.56100000000	1069493.95700000000
Parking_3653	1073843.79900000000	1061221.80200000000
Parking_3659	1086504.41800000000	1070415.56200000000
Parking_3661	1087092.54900000000	1070754.90400000000
Parking_3664	1080361.72000000000	1065303.13100000000
Parking_3680-1	1089122.63900000000	1062716.60700000000
Parking_3680-2	1089380.34700000000	1063003.59100000000
Parking_3684-1	1089400.42600000000	1062813.95500000000
Parking_3699	1088793.65000000000	1062724.51600000000
Parking_3783	1089504.62400000000	1065172.85700000000
Parking_3816	1084270.32200000000	1068518.48600000000
Parking_3834	1070671.85400000000	1063267.80900000000
Parking_3836	1069798.31600000000	1062851.49400000000
Parking_3845	1079976.34600000000	1062044.07200000000
Parking_3850	1080339.88300000000	1061795.29100000000
Parking_3873	1076055.86000000000	1060763.90600000000
Parking_3877	1076063.46300000000	1060445.38900000000
Parking_3882	1075843.97200000000	1059644.72900000000
Parking_3884	1076025.64200000000	1059516.60100000000
Parking_3919-2	1087866.31300000000	1061487.55000000000
Parking_3923	1077642.21700000000	1063755.84700000000
Parking_3939-1	1077675.99500000000	1062082.66500000000
Parking_3960	1077789.71600000000	1059736.08400000000
Parking_4004-1	1076140.84200000000	1064159.71700000000
Parking_4004-2	1075886.91100000000	1064303.74000000000
Parking_4004-3	1075705.33400000000	1064268.17100000000
Parking_4005	1086628.08300000000	1065204.91100000000
Parking_4005-1	1086470.86800000000	1064945.60100000000
Parking_4017	1075872.22900000000	1062119.17200000000
Parking_4020	1086697.34900000000	1070791.32300000000
Parking_4025-1	1076789.28100000000	1062074.38700000000
Parking_4028	1086199.74200000000	1071141.33000000000
Parking_4035	1086201.42200000000	1071483.16500000000
Parking_4045-1	1086689.48700000000	1071819.14200000000
Parking_4061-1	1086632.11900000000	1072726.53100000000
Parking_4064	1086639.43500000000	1073003.35000000000
Parking_4066	1079253.41300000000	1062117.20400000000
Parking_4086	1079739.16500000000	1061810.71900000000
Parking_4086-1	1079885.47900000000	1062349.19900000000
Parking_4097	1080480.11100000000	1066206.39800000000
Parking_4112	1081705.29800000000	1062229.73700000000
Parking_4126	1086962.35600000000	1075388.80300000000
Parking_4143	1079575.98800000000	1064787.68800000000
