Name	X-Coordinate	Y-Coordinate
Buf1_2281-1	1077076.712	1069589.788
Buf1_2281-2	1077151.382	1069754.509
Buf1_2281-3	1077383.079	1069798.845
Buf1_2294	1080472.529	1072747.695
Buf1_230	1063230.549	1078517.493
Buf1_230-1	1062967.573	1078580.215
Buf1_2314	1080170.529	1072055.225
Buf1_2334	1081427.639	1071107.834
Buf1_2345	1082124.002	1071086.554
Buf1_235	1062575.741	1078971.61
Buf1_235-1	1062804.188	1078925.763
Buf1_2353	1080814.194	1072427.655
Buf1_2354	1081443.178	1072233.216
Buf1_239	1064227.96	1076321.281
Buf1_2438-3	1079722.203	1063353.038
Buf1_2438-4	1079706.8	1062902.688
Buf1_2456	1083205.326	1062817.561
Buf1_2464	1084538.498	1062581.527
Buf1_2468	1084839.398	1062649.119
Buf1_2501-1	1087060.104	1062976.632
Buf1_2501-2	1087078.009	1063104.872
Buf1_253-1	1063892.445	1078177.842
Buf1_2547-1	1087728.816	1063109.609
Buf1_2547-2	1087699.589	1062987.783
Buf1_254OF	1086526.927	1073716.42
Buf1_254OF-1	1086385.484	1073521.789
Buf1_2551	1087964.483	1063202.663
Buf1_2555-1	1088189.258	1063199.946
Buf1_2555-2	1088202.787	1063489.634
Buf1_2555-6	1088811.735	1063402.014
Buf1_2577	1072314.205	1069644.21
Buf1_2580	1072926.33	1070130.508
Buf1_2586	1073239.944	1070390.793
Buf1_2586-1	1073631.421	1071223.693
Buf1_2586-2	1072980.288	1070637.476
Buf1_2588	1073825.943	1071033.673
Buf1_259	1065159.109	1077983.622
Buf1_2607	1072003.358	1069728.597
Buf1_2638-1	1088214.707	1063681.244
Buf1_2638-2	1088231.71	1063932.01
Buf1_2638-3	1088488.486	1063644.826
Buf1_2650	1088729.371	1063969.474
Buf1_2658-1	1088735.27	1064978.658
Buf1_2660-1	1088847.897	1065397.672
Buf1_2660-2	1088693.389	1065326.483
Buf1_2670	1089270.628	1066811.894
Buf1_2677	1089185.417	1066972.511
Buf1_267LP	1084769.763	1073901.844
Buf1_267OFB	1085940.141	1073762.336
Buf1_267OFB-1	1085201.968	1073852.418
Buf1_267OFB-2	1085579.897	1073855.175
Buf1_2697-1	1089182.328	1064976.955
Buf1_2697-2	1089396.79	1065050.608
Buf1_27	1062232.703	1076355.666
Buf1_27-1	1062317.496	1076681.909
Buf1_2711	1087547.68	1065534.398
Buf1_2714	1087842.97	1066054.153
Buf1_2714-1	1088137.607	1066364.558
Buf1_2718	1087119.752	1066805.012
Buf1_27-2	1062370.88	1076530.361
Buf1_2722	1087137.3	1066936.701
Buf1_2726	1087150.704	1067082.915
Buf1_2726-1	1087502.309	1066962.045
Buf1_2726-2	1087776.072	1067081.771
Buf1_2732	1087249.946	1067757.097
Buf1_2735-1	1088622.292	1068126.2
Buf1_2735-2	1086900.314	1068028.572
Buf1_2735-3	1087208.363	1068024.795
Buf1_2738	1087213.034	1068332.543
