                0            1     2     3     4     5     6     7     8     9
156   1070481.313  1053461.805   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
157   1070486.072  1050327.952  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
158   1070503.565  1053076.567   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
159   1070504.702  1054845.546  34.0  61.0  31.0  13.0  12.0  78.0  17.0  40.0
160   1070516.313  1053436.805   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
161   1070534.956  1054516.037   6.0  61.0  31.0  13.0  12.0  78.0  17.0  40.0
162   1070536.581  1053230.997   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
163   1070550.471  1052876.325   6.0  56.0   2.0  98.0  26.0  61.0  18.0   8.0
164   1070555.115  1052100.851  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
165   1070581.981  1053188.817   6.0  56.0   2.0  98.0  26.0  61.0  17.0  39.0
166   1070587.916  1050632.507  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
167   1070590.737  1053919.555   6.0   2.0   2.0  13.0  26.0  13.0  17.0  79.0
168   1070603.865  1050476.840  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
169   1070610.172  1055469.066  34.0  61.0  31.0  54.0  12.0  78.0  47.0  40.0
170   1070617.209  1053619.755   6.0   2.0   2.0  98.0  26.0  61.0  17.0  79.0
171   1070620.805  1050155.157  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
172   1070625.737  1053894.555   6.0   2.0   2.0  13.0  26.0  13.0  17.0  79.0
173   1070629.245  1051025.991  44.0  68.0  32.0  20.0  11.0  82.0  39.0  30.0
174   1070630.060  1051731.997  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
175   1070645.172  1055444.066  34.0  61.0  31.0  54.0  12.0  78.0  47.0  40.0
176   1070645.715  1054236.189   6.0  61.0  31.0  13.0  12.0  13.0  17.0  79.0
177   1070652.209  1053594.755   6.0   2.0   2.0  98.0  26.0  61.0  17.0  79.0
178   1070655.312  1052075.534  36.0  19.0   7.0  41.0  11.0  39.0  18.0  64.0
179   1070655.805  1050130.157  44.0  68.0  32.0  20.0  31.0  82.0  39.0  15.0
